file_path,class,loc,interactivity_signals,estimated_effort_hours,notes
web/src/app/(auth)/forgot-password/forgot-password-form.tsx,C,51,react:useActionState | jsx-nodes:9,0.00,react-hooks=useActionState
web/src/app/(auth)/login/login-form.tsx,C,138,"react:useActionState,useEffect,useState | events:1 | browser:localStorage,window | jsx-nodes:20",0.00,"react-hooks=useActionState,useEffect,useState; browser=localStorage,window"
web/src/app/(auth)/register/register-form.tsx,C,78,react:useActionState | jsx-nodes:14,0.00,react-hooks=useActionState
web/src/app/(auth)/update-password/update-password-form.tsx,C,57,react:useActionState | jsx-nodes:9,0.00,react-hooks=useActionState
web/src/app/(public)/directory/cart/inquiry-form.tsx,C,191,"custom-hooks:useCartSearchContext,usePublicDiscoveryState | jsx-nodes:4",0.00,"custom-hooks=useCartSearchContext,usePublicDiscoveryState"
web/src/app/(workspace)/[tenantSlug]/_ParticipantThreadShell.tsx,C,317,"react:useEffect,useRef,useState,useTransition | events:3 | jsx-nodes:20",0.00,heavy state (4 useState)
web/src/app/(workspace)/[tenantSlug]/admin/_page-route-syncer.tsx,C,32,react:useEffect | custom-hooks:useAdminShell | jsx-nodes:0,0.00,react-hooks=useEffect; custom-hooks=useAdminShell
web/src/app/(workspace)/[tenantSlug]/admin/account/BillingActionButtons.tsx,C,201,nav:useRouter | events:2 | browser:window | jsx-nodes:11,0.00,navigation hook + state/effect — route-aware interactive shell
web/src/app/(workspace)/[tenantSlug]/admin/account/CurrencyPicker.tsx,B,124,events:1 | jsx-nodes:12,5.24,static JSX wrapper with 1 small handler(s) (density 0.08)
web/src/app/(workspace)/[tenantSlug]/admin/bookings/[id]/call-sheet/_editor.tsx,C,430,"react:useState,useTransition | nav:useRouter | events:30 | jsx-nodes:86",0.00,navigation hook + state/effect — route-aware interactive shell
web/src/app/(workspace)/[tenantSlug]/admin/discover-inquiries/AdminDiscoverInquiriesShell.tsx,A,219,jsx-nodes:27,0.25,pure presentational
web/src/app/(workspace)/[tenantSlug]/admin/payouts/payouts-actions-client.tsx,C,172,"react:useState,useTransition | nav:useRouter | events:10 | browser:window | jsx-nodes:11",0.00,navigation hook + state/effect — route-aware interactive shell
web/src/app/(workspace)/[tenantSlug]/admin/roster/[id]/CompletenessDial.tsx,B,266,events:1 | jsx-nodes:32,6.66,static JSX wrapper with 1 small handler(s) (density 0.03)
web/src/app/(workspace)/[tenantSlug]/admin/roster/[id]/EditorSections.tsx,C,1080,nav:useRouter | events:30 | jsx-nodes:113,0.00,heavy state (22 useState)
web/src/app/(workspace)/[tenantSlug]/admin/roster/[id]/TalentEditForm.tsx,C,1101,"react:useActionState,useEffect,useRef,useState | nav:useRouter | events:1 | browser:document | jsx-nodes:19",0.00,navigation hook + state/effect — route-aware interactive shell
web/src/app/(workspace)/[tenantSlug]/admin/roster/[id]/WorkflowPipe.tsx,A,251,jsx-nodes:22,0.25,pure presentational
web/src/app/(workspace)/[tenantSlug]/admin/roster/[id]/curated-city-field.tsx,C,148,"react:useEffect,useRef,useState | events:8 | browser:document | jsx-nodes:12",0.00,heavy state (4 useState)
web/src/app/(workspace)/[tenantSlug]/admin/roster/new/NewRosterTalentForm.tsx,C,326,"react:useActionState,useState | events:4 | jsx-nodes:60",0.00,"react-hooks=useActionState,useState"
